Req_ID,Subsystem,Requirement,Priority,Target_or_Limit,Verification_Method,Design_Artifact,Test_Artifact,Status,Owner,Notes
OPT-0010,Optical,Reject or measure ambient and dark optical signal without corrupting the desired pulsatile signal.,SHOULD,Ambient range TBD,Sunlight/dark test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-004
OPT-0011,Optical,Report optical saturation and restore valid acquisition after overload.,SHOULD,Recovery TBD,Overload test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-004
OPT-0012,Optical,"Characterize photodiode capacitance, dark current, shot noise and TIA input noise at each intended wavelength.",SHOULD,Bounds TBD,Optical link budget+measurement,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-004
OPT-0013,Optical,Measure and subtract baseline ambient and dark samples with documented motion and light-change residual.,SHOULD,Residual limit TBD,Changing ambient test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-004
OPT-0014,Optical,"Time-associate wavelength, source current, PD ID, gain and integration time with samples.",SHOULD,Metadata completeness,Protocol test,specs/optical/,verification/unit/optical/,CANDIDATE,Optical analog,source=MASTER_SPEC.md §10; issue=OI-003
OPT-0015,Optical,Support multiwavelength reflectance and red/NIR PPG research with raw calibrated samples.,SHOULD,Wavelength/accuracy TBD,Phantom/reference test,specs/optical/,verification/unit/optical/,RESEARCH_ONLY,Optical analog,source=MASTER_SPEC.md §10; issue=OI-001
OPT-0016,Optical,Support weak fluorescence/autofluorescence readout with dark subtraction and optical filtering.,MAY,Excitation/filter and sensitivity TBD,Optical bench study,specs/optical/,verification/unit/optical/,RESEARCH_ONLY,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
OPT-0017,Optical,Keep UV output disabled until independent hardware exposure limits and optical calibration are established.,MUST,Applicable exposure limit TBD,Independent safety test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
OPT-0018,Optical,"Enforce a calibrated, cumulative UV exposure bound independently of host firmware when UV is implemented.",MUST,Dose model and limit TBD,Fault injection and optical power test,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
OPT-0019,Optical,Enforce source overcurrent and thermal interlocks independently of firmware.,MUST,Limits TBD,Fault injection,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
OPT-0020,Optical,"Optimize source current, gain, integration and duty cycle for SNR per energy within saturation bounds.",SHOULD,Mode and acceptance TBD,Optical link model,specs/optical/,verification/unit/optical/,NEEDS_DEFINITION,Optical analog,source=MASTER_SPEC.md §10; issue=OI-003
OPT-0021,Optical,Treat Raman spectroscopy as a separate feasibility effort rather than assuming LED and PD alone suffice.,MUST,No implicit Raman capability,Architecture review,specs/optical/,verification/unit/optical/,RESEARCH_ONLY,Optical analog,source=MASTER_SPEC.md §10; issue=OI-001
OPT-0022,Optical,"Do not equate multispectral sensor readings alone with validated hemoglobin, melanin or AGE biomarkers.",MUST,Validation study needed,Claims review,specs/optical/,verification/unit/optical/,RESEARCH_ONLY,Optical analog,source=MASTER_SPEC.md §10; issue=OI-005
THM-0001,Thermal,Provide slow precision thermal/auxiliary inputs subject to package and ADC availability.,SHOULD,TARGET 4–8 channels,Pin/ADC study,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-007
THM-0002,Thermal,"Support duty-cycled, ratiometric NTC excitation with self-heating quantified.",SHOULD,NTC bias and accuracy TBD,Thermal model+test,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0003,Thermal,Store NTC calibration coefficients for temperature calculation.,SHOULD,Coefficient precision TBD,Temperature sweep,specs/thermal/,verification/unit/thermal/,CANDIDATE,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0004,Thermal,Provide a DC-capable thermopile/heat-flux interface for a kΩ source and ≈100 µV representative output.,SHOULD,Sensor model TBD,Sensor emulator test,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0005,Thermal,Limit thermal-path input offset over specified source impedance and temperature.,SHOULD,TARGET <5 µV; aspirational 1–2 µV,Chopped/unchopped characterization,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0006,Thermal,Limit thermal-path input offset drift over specified temperature and aging.,SHOULD,TARGET <0.05 µV/°C,Temperature sweep,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0007,Thermal,Limit integrated low-frequency thermal input noise under a specified measurement procedure.,SHOULD,TARGET <0.5–1 µVpp at 0.1–10 Hz,Long-duration noise measurement,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0008,Thermal,Provide programmable thermopile gain without loss of DC information.,SHOULD,TARGET ×1 to ×128 equivalent,Gain/settling test,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0009,Thermal,Provide selectable heat-flux measurement bandwidth.,SHOULD,TARGET DC to ≈10 Hz,Transfer function test,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
THM-0010,Thermal,"Quantify chopping ripple, drift and settling effects on thermal measurements.",SHOULD,Limits TBD,Transient/noise analysis,specs/thermal/,verification/unit/thermal/,NEEDS_DEFINITION,Analog thermal,source=MASTER_SPEC.md §11; issue=OI-004
AUD-0001,Audio,Provide a configurable combination of analog/PDM/contact audio inputs subject to pin and power limits.,SHOULD,TARGET up to 4 channels total,Mode/pin study,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-001
AUD-0002,Audio,"Support analog mic bias, programmable gain and antialiasing with characterized noise.",SHOULD,Accuracy/bias TBD,Microphone bench test,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-004
AUD-0003,Audio,Support digital PDM clocking and decimation where selected microphones require it.,SHOULD,Clock and sample format TBD,PDM pattern test,specs/audio/,verification/unit/audio/,CANDIDATE,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-001
AUD-0004,Audio,Support a high-impedance or charge-amplifier contact/piezo input when selected.,SHOULD,Capacitance/voltage TBD,Transducer emulator test,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-004
AUD-0005,Audio,Provide audio ADC sampling for proposed recording modes.,SHOULD,TARGET 48 kHz; 96 kHz optional; 24-bit class label,Audio performance test,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-003
AUD-0006,Audio,Deliver a full-range electrical audio path if selected; actual actuator bandwidth is separately specified.,SHOULD,TARGET ≈20 Hz–20 kHz electrical,Load frequency test,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-001
AUD-0007,Audio,"Evaluate Class-D electromagnetic versus high-voltage piezo actuation against transducer, safety and power limits.",SHOULD,Actuator TBD,Architecture trade study,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-003
AUD-0008,Audio,"Implement click/pop control, mute, gain and overdrive limiting for selected audio output.",SHOULD,Limits TBD,Transient+fault test,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-005
AUD-0009,Audio,Evaluate 48/96 kHz audio DAC and processing precision by noise/distortion rather than word length alone.,SHOULD,24-bit class label,DAC characterization,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-004
AUD-0010,Audio,Supply audio filtering and limiting primitives only if selected product modes justify energy and area.,SHOULD,FIR/biquad/EQ/mix/limiter candidates,DSP trade study,specs/audio/,verification/unit/audio/,CANDIDATE,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-001
AUD-0011,Audio,Bound audio duty cycle and peak power by usable battery energy and thermal limits.,MUST,Target runtime TBD,CH03 energy model+bench,specs/audio/,verification/unit/audio/,NEEDS_DEFINITION,Audio mixed signal,source=MASTER_SPEC.md §12–13; issue=OI-003
ADC-0001,ADC,"Evaluate 8 truly simultaneous low-frequency biopotential converters against channel noise, area and power needs.",SHOULD,TARGET 8 × 24-bit-class,Converter trade study,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-007
ADC-0002,ADC,Evaluate dedicated versus shared electrochemical precision conversion under leakage and concurrency requirements.,SHOULD,TARGET 4–8 × 20–24-bit-class,Mode/converter trade study,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-007
ADC-0003,ADC,Provide optical conversion capacity for approved spatially simultaneous modes.,SHOULD,TARGET ≥8 simultaneous; 18–20-bit-class,Concurrency+noise study,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-007
ADC-0004,ADC,Provide thermal/precision conversion resources matched to chosen sensors.,SHOULD,TARGET 4 × 20–24-bit-class,Noise/concurrency study,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-007
ADC-0005,ADC,Provide fast research ADCs only if concrete uses justify area/energy.,MAY,TARGET 2 × 14–16-bit at ≈1–5 MSPS,Use-case study,specs/adc_dac/,verification/unit/adc/,CANDIDATE,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-001
ADC-0006,ADC,"Specify each selected ADC by full scale, common mode, bandwidth and sample rate.",SHOULD,Per bank TBD,Specification review,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-004
ADC-0007,ADC,"Verify each ADC noise, SNR, SNDR, THD, INL, DNL and ENOB at stated input and clock conditions.",SHOULD,Per bank TBD,Simulation+bench,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-004
ADC-0008,ADC,"Verify each ADC power, area, startup, calibration, reference/clock sensitivity and PVT yield.",SHOULD,Per bank TBD,Corner+Monte Carlo+bench,specs/adc_dac/,verification/unit/adc/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §15; issue=OI-006
DAC-0001,DAC,Provide precision programmable voltage biases for selected excitation/calibration needs.,SHOULD,TARGET 8 × 16–18-bit-class candidate,Output/concurrency analysis,specs/adc_dac/,verification/unit/dac/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §16; issue=OI-007
DAC-0002,DAC,Program independently selected optical source currents within calibrated bounds.,SHOULD,TARGET 16 current channels candidate,DAC load characterization,specs/adc_dac/,verification/unit/dac/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §16; issue=OI-007
DAC-0003,DAC,Provide high-rate waveform channels only when impedance/stimulation uses justify their cost.,MAY,TARGET 2–4 × 12–16-bit-class,Trade study,specs/adc_dac/,verification/unit/dac/,CANDIDATE,Converter architecture,source=MASTER_SPEC.md §16; issue=OI-001
DAC-0004,DAC,"Verify monotonicity, INL/DNL, noise, settling, glitch, drive, range and drift under specified conditions.",SHOULD,Per DAC TBD,Converter characterization,specs/adc_dac/,verification/unit/dac/,NEEDS_DEFINITION,Converter architecture,source=MASTER_SPEC.md §16; issue=OI-004
TIM-0001,Timing,Map simultaneous sensor measurements into one monotonic time domain.,MUST,Continuity through sleep/wake,Model+timestamp test,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0002,Timing,Provide a global hardware timestamp unit with documented resolution and clock source.,SHOULD,TARGET ≤1 µs,Counter simulation+bench,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0003,Timing,"Define master clock tolerance, sleep drift and resynchronization to a host epoch.",SHOULD,Tolerance TBD,Drift model+test,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0004,Timing,Prevent time-counter ambiguity or rollover over the longest approved logging session.,MUST,Candidate 64-bit representation,Rollover/formal test,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0005,Timing,"Support programmable triggers linking optical pulses, ADCs, electrochem, audio, IMU, GPIO and DMA.",SHOULD,Matrix scope TBD,Trigger sequence test,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0006,Timing,"Document each trigger-to-sample latency, jitter and clock crossing uncertainty.",SHOULD,Per interface TBD,Timing simulation+bench,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-003"
TIM-0007,Timing,Timestamp IMU samples at a defined sync point with FIFO delay correction.,SHOULD,IMU pin behavior TBD,Sync test,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-002"
TIM-0008,Timing,Preserve documented physical IMU axes in package and product coordinates.,SHOULD,Axis map TBD,Orientation review,specs/digital/,verification/unit/timing/,NEEDS_DEFINITION,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-002"
TIM-0009,Timing,Verify reset-domain and clock-domain crossings and glitch-free clock changes.,MUST,Every crossing,CDC/RDC checks,specs/digital/,verification/unit/timing/,PROCESS_ACTIVE,Digital timing,"source=MASTER_SPEC.md §14,17,27; issue=OI-006"
AON-0001,Always-on,"Provide wake scheduling, on-body/contact monitoring and event-based host wake.",SHOULD,Wake latency TBD,FSM test,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-003"
AON-0002,Always-on,"Supervise battery, low-rate temperature, watchdog, sensor duty-cycle and power-sequencing faults while host sleeps.",SHOULD,Coverage TBD,Fault injection,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-003"
AON-0003,Always-on,Minimize always-on energy at specified enabled sensor states.,SHOULD,TARGET single-digit to tens of µW; mode TBD,Energy model+measurement,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-003"
AON-0004,Always-on,Keep high-energy sources and body drives disabled on reset and invalid power states.,MUST,Default OFF,Formal assertion+fault test,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-005"
AON-0005,Always-on,"Define for each power domain rails, reset, retention, isolation, wake source and entry/exit latency.",SHOULD,Every implemented domain,UPF/spec review,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-006"
AON-0006,Always-on,"Implement POR, brownout, watchdog and host/PMIC fault reset behavior with deterministic startup.",SHOULD,Reset paths TBD,Reset injection,specs/digital/,verification/unit/aon/,NEEDS_DEFINITION,Digital low power,"source=MASTER_SPEC.md §18,25,28; issue=OI-005"
DSP-0001,DSP,Evaluate CIC/FIR/IIR and decimation accelerators only against measured processor energy and area.,SHOULD,Candidate kernels,Bit-true model+trade study,specs/digital/,verification/unit/dsp/,CANDIDATE,Digital signal processing,source=MASTER_SPEC.md §19–20; issue=OI-003
DSP-0002,DSP,"Evaluate RMS, peak, correlation, FFT, lock-in and I/Q primitives for selected modes.",MAY,Kernels TBD,Reference vector test,specs/digital/,verification/unit/dsp/,CANDIDATE,Digital signal processing,source=MASTER_SPEC.md §19–20; issue=OI-001
DSP-0003,DSP,Validate fixed-point output against stated numeric error budgets for each implemented primitive.,MUST,Error limits TBD,Golden vector+corner test,specs/digital/,verification/unit/dsp/,NEEDS_DEFINITION,Digital signal processing,source=MASTER_SPEC.md §19–20; issue=OI-004
DSP-0004,DSP,"Attach signal quality/state metadata such as saturation, gains, contact and calibration IDs to applicable streams.",SHOULD,Per-stream fields TBD,Frame decode test,specs/digital/,verification/unit/dsp/,NEEDS_DEFINITION,Digital signal processing,source=MASTER_SPEC.md §19–20; issue=OI-001
MEM-0001,Memory,"Size local SRAM from concurrent FIFO bursts, DSP workspace and allowed host sleep time.",SHOULD,TARGET 512 KB–2 MB provisional,CH04 queue model,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-003
MEM-0002,Memory,Report FIFO overflow or dropped frames with a monotonic timestamp and quality status.,MUST,Loss reporting TBD,Stress test,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-003
MEM-0003,Memory,"Evaluate SRAM banks, retention, parity/ECC and BIST against fault and leakage budgets.",SHOULD,Policy TBD,Fault injection+memory test,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-006
MEM-0004,Memory,"Evaluate nRF internal NVM, optional NOR, NAND and combinations by logging load and power.",SHOULD,NOR candidate 256 Mb–1 Gb; NAND candidate 4–16 Gb,CH04 hierarchy trade study,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-002
MEM-0005,Memory,"Specify NAND throughput, endurance, retention and write energy under approved modes.",SHOULD,Bounds TBD,Traffic/endurance model,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-003
MEM-0006,Memory,"Provide error correction, bad-block handling, integrity and recovery if raw NAND is selected.",MUST,ECC strength TBD,Fault-injection test,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-006
MEM-0007,Memory,Protect sensitive stored measurements through secure authenticated/encrypted policy as required by product threat model.,SHOULD,Policy TBD,Security tests,specs/memory/,verification/unit/memory/,NEEDS_DEFINITION,Digital/memory,source=MASTER_SPEC.md §21–22; issue=OI-005
HIF-0001,Host interface,Support a high-throughput nRF-to-ASIC data and control interface sized to worst approved sensor burst.,SHOULD,TARGET ≥20% over worst practical burst,CH04 bandwidth analysis+test,specs/digital/,verification/unit/host_if/,NEEDS_DEFINITION,Digital interfaces,source=MASTER_SPEC.md §23; issue=OI-003
HIF-0002,Host interface,"Support DMA-friendly framing, CRC, flow control and explicit overflow/error status.",SHOULD,Frame format TBD,Traffic/error injection,specs/digital/,verification/unit/host_if/,NEEDS_DEFINITION,Digital interfaces,source=MASTER_SPEC.md §23; issue=OI-003
HIF-0003,Host interface,"Provide wake, interrupt, reset, boot and fault handshake semantics.",SHOULD,Timing TBD,Integration test,specs/digital/,verification/unit/host_if/,NEEDS_DEFINITION,Digital interfaces,source=MASTER_SPEC.md §23; issue=OI-002
HIF-0004,Host interface,Control production debug access separately from authenticated operational paths.,SHOULD,Access policy TBD,Security review,specs/digital/,verification/unit/host_if/,NEEDS_DEFINITION,Digital interfaces,source=MASTER_SPEC.md §23; issue=OI-005
PMU-0001,Power/PMIC,Derive rail and battery design around measured usable energy for a very small wearable cell.,SHOULD,CONTEXT ≈8–14 mAh usable; chemistry/window TBD,CH03 battery model,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0002,Power/PMIC,"Provide programmable precharge, CC, CV, termination, recharge, storage and ship behavior for selected cell.",SHOULD,TARGET ≈0.1–20 mA programmable; bounds TBD,Battery emulator test,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0003,Power/PMIC,"Enforce independent battery overvoltage, undervoltage, short, overcurrent and thermal protection.",MUST,Threshold/response TBD,Fault injection+independent review,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-005
PMU-0004,Power/PMIC,"Report voltage, current, temperature and coulomb count for runtime/SOC/SOH estimates.",SHOULD,Accuracy TBD,Calibration and cycling test,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0005,Power/PMIC,Select buck/buck-boost/LDO/load switch counts using efficiency at actual mode currents.,SHOULD,Candidate 2–3 buck; 4–6 LDO; other rails TBD,Rail tree trade study,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0006,Power/PMIC,Size optical/actuator boost separately or together based on noise and concurrent mode validity.,SHOULD,Topology TBD,Coupling+transient test,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0007,Power/PMIC,Allow external or co-packaged µH inductors where on-die passive performance is insufficient.,SHOULD,Placement/height TBD,Package feasibility study,specs/pmic/,verification/unit/pmic/,CANDIDATE,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-007
PMU-0008,Power/PMIC,Quantify sensitive analog rail noise and switching spur rejection in all supported modes.,SHOULD,Ripple limit TBD,Noise injection simulation/bench,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-004
PMU-0009,Power/PMIC,"Record active, idle, retention, leakage, startup energy and peak current for every power domain.",MUST,All implemented domains,CH03 energy model,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0010,Power/PMIC,"Validate usable battery runtime with rail conversion losses, end-of-life and cold/peak sag.",MUST,Battery scenarios 8/10/14/20 mAh for study,CH03 model+cell measurement,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0011,Power/PMIC,"Provide power state ordering, isolation and retention behavior across every domain transition.",SHOULD,Entry/exit latencies TBD,FSM/UPF simulation,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-005
PMU-0012,Power/PMIC,Maintain transient PMIC headroom for future loads without materially reducing low-load efficiency.,SHOULD,Headroom and efficiency TBD,Load/efficiency sweep,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
PMU-0013,Power/PMIC,Implement reverse-current blocking and battery-presence/fault behavior for the chosen charger topology.,SHOULD,Limits TBD,Fault injection,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-005
PMU-0014,Power/PMIC,Ensure shutdown and storage states meet usable battery shelf-life targets.,SHOULD,Current limit TBD,Leakage measurement+runtime model,specs/pmic/,verification/unit/pmic/,NEEDS_DEFINITION,Power systems,source=MASTER_SPEC.md §24–26; issue=OI-003
SAFE-0001,Safety/ESD,"Keep electrode/drive, UV, high-current optical and audio/piezo outputs disabled on all resets until validated enable conditions.",MUST,Default OFF,Fault injection,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-005"
SAFE-0002,Safety/ESD,Implement hardware exposure/current/temperature limits independent of host firmware for selected hazardous outputs.,MUST,Limits and response TBD,Safety analysis+fault test,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-005"
SAFE-0003,Safety/ESD,Define body-connected ESD/EMC strategy jointly with leakage and electrode input error budgets.,MUST,Pad leakage TBD,Pad+IEC-level strategy review,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-004"
SAFE-0004,Safety/ESD,Characterize latch-up and ESD behavior of separate quiet electrode and high-current pad classes.,MUST,PDK and package TBD,Foundry characterization+test,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-006"
SAFE-0005,Safety/ESD,Separate patient/user safety engineering from functional test coverage and obtain qualified review.,MUST,Standards/jurisdiction TBD,Independent review,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-005"
SAFE-0006,Safety/ESD,Define optical exposure using calibrated optical radiant output and accepted safety criteria rather than current-only proxy.,MUST,Spectral exposure TBD,Optical measurement+independent review,specs/system/,verification/safety/,NEEDS_DEFINITION,Safety engineering,"source=MASTER_SPEC.md §28–30,58; issue=OI-005"
CAL-0001,Calibration,Provide low-noise reference and bias generation with test access for relevant analog paths.,SHOULD,Reference stability TBD,Reference characterization,specs/system/,verification/unit/calibration/,NEEDS_DEFINITION,Analog system,source=MASTER_SPEC.md §31; issue=OI-006
CAL-0002,Calibration,"Provide calibration/loopback access for ADC, DAC, TIA and electrode/optical path errors.",SHOULD,Per-path coverage TBD,Loopback characterization,specs/system/,verification/unit/calibration/,NEEDS_DEFINITION,Analog system,source=MASTER_SPEC.md §31; issue=OI-004
CAL-0003,Calibration,"Store gain, offset, current, temperature and oscillator trims with identified device provenance.",SHOULD,OTP/eFuse choice TBD,Factory flow test,specs/system/,verification/unit/calibration/,NEEDS_DEFINITION,Analog system,source=MASTER_SPEC.md §31; issue=OI-006
CAL-0004,Calibration,"Ensure trim and calibration provenance survives reset, provisioning and field logging.",SHOULD,Integrity requirement TBD,Power-cycle/metadata test,specs/system/,verification/unit/calibration/,NEEDS_DEFINITION,Analog system,source=MASTER_SPEC.md §31; issue=OI-005
SEC-0001,Security,Assign a unique device identity with controlled provisioning.,MUST,Format/uniqueness TBD,Provisioning audit,specs/system/,verification/security/,NEEDS_DEFINITION,Security,source=MASTER_SPEC.md §32; issue=OI-005
SEC-0002,Security,"Coordinate secure boot, authenticated firmware and rollback policy across nRF and ASIC.",MUST,Threat model TBD,Adversarial boot test,specs/system/,verification/security/,NEEDS_DEFINITION,Security,source=MASTER_SPEC.md §32; issue=OI-002
SEC-0003,Security,Restrict production debug and test-mode access through authenticated policy.,MUST,Access matrix TBD,Negative access test,specs/system/,verification/security/,NEEDS_DEFINITION,Security,source=MASTER_SPEC.md §32; issue=OI-005
SEC-0004,Security,Prevent unauthenticated commands from enabling body drive or other safety-critical excitation.,MUST,No unauthenticated enable,Adversarial command test,specs/system/,verification/security/,NEEDS_DEFINITION,Security,source=MASTER_SPEC.md §32; issue=OI-005
SEC-0005,Security,Encrypt and authenticate sensitive logs/storage based on product privacy and threat requirements.,SHOULD,Key policy TBD,Threat model+test,specs/system/,verification/security/,NEEDS_DEFINITION,Security,source=MASTER_SPEC.md §32; issue=OI-005
